id_cliente,sex,fecha_nacimiento_cliente,num_doc,first,middle,last,email,district_id
1,Female,1990-12-13,926-93-2157,Emma,Avaya,Smith,emma.smith@gmail.com,18
2,Male,1965-02-04,806-94-5725,Noah,Everest,Thompson,noah.thompson@gmail.com,1
3,Female,1960-10-09,614-70-9100,Olivia,Brooklynne,Johnson,olivia.johnson@outlook.com,1
4,Male,1976-12-01,580-20-3414,Liam,Irvin,White,liam.white@gmail.com,5
5,Female,1980-07-03,536-14-5809,Sophia,Danae,Williams,sophia.williams@gmail.com,5
6,Male,1939-09-22,430-17-5825,Mason,Javen,Lopez,mason.lopez7@gmail.com,12
7,Male,1949-01-25,305-80-4254,Jacob,Khai,Lee,jacob.lee7@gmail.com,15
8,Female,1958-02-21,425-96-6358,Ava,Eliora,Brown,ava.brown8@gmail.com,51
9,Male,1955-10-16,832-31-7252,William,Marek,Gonzalez,william.marek.gonzalez@gmail.com,60
10,Male,1963-05-01,295-22-6122,Ethan,Veer,Harris,ethan.harris9@gmail.com,57
11,Female,1970-08-22,666-36-2990,Isabella,Haidyn,Jones,isabella.jones@hotmail.com,57
12,Male,2001-02-20,771-44-3992,James,Amauri,Clark,james.clark9@gmail.com,40
13,Female,1994-05-29,618-33-8801,Mia,Hawa,Miller,mia.miller@gmail.com,54
14,Female,1962-06-22,806-78-2944,Abigail,Inaaya,Davis,abigail.davis5@gmail.com,76
15,Female,1938-08-28,711-78-2371,Emily,Joann,Garcia,emily.garcia43@outlook.com,21
16,Male,1939-02-25,923-11-6562,Alexander,Bronx,Lewis,alexander.lewis3@gmail.com,21
17,Male,1954-10-13,800-28-6783,Michael,Clifton,Robinson,michael.robinson2@gmail.com,76
18,Female,1951-04-05,392-61-8907,Charlotte,Joi,Rodriguez,charlotte.rodriguez2@gmail.com,76
19,Male,1962-12-28,832-01-3704,Benjamin,Denis,Walker,benjamin.walker@gmail.com,47
20,Male,1999-01-04,419-19-0547,Elijah,Grayden,Perez,elijah.perez@gmail.com,46
21,Female,1972-10-29,139-70-2852,Harper,Juno,Wilson,harper.wilson@outlook.com,12
22,Female,1989-10-11,157-87-6583,Madison,Kimberlyn,Martinez,madison.martinez@gmail.com,1
23,Male,1993-05-29,158-18-4299,Daniel,Isa,Hall,daniel.hall67@gmail.com,1
24,Female,1959-07-29,637-42-2042,Amelia,Leora,Anderson,amelia.anderson8@gmail.com,43
25,Female,1959-04-23,349-52-4604,Elizabeth,Lupita,Taylor,elizabeth.taylor@gmail.com,21
26,Female,1989-04-20,956-04-7186,Sofia,Makaila,Thomas,sofia.thomas@gmail.com,74
27,Female,1986-03-26,691-10-5744,Evelyn,Mari,Hernandez,evelyn.mari.hernandez8@gmail.com,54
28,Male,1965-09-29,517-85-8773,Aiden,Jamil,Young,aiden.young9@gmail.com,1
29,Female,1971-09-11,518-96-1042,Avery,Mildred,Moore,avery.moore@hotmail.com,30
30,Female,1977-10-09,610-21-2152,Chloe,Odette,Martin,chloe.martin8765@gmail.com,74
31,Male,1982-02-09,318-55-4386,Logan,Judd,Allen,logan.allen4@gmail.com,68
32,Male,2000-07-28,755-20-3365,Matthew,Keyon,Sanchez,matthew.sanchez3@gmail.com,52
33,Female,1968-12-04,956-56-8470,Ella,Triniti,Jackson,ella.jackson4@outlook.com,73
36,Female,1998-07-17,611-81-5222,Grace,Emma,Thompson,grace.thompson56@gmail.com,7
37,Male,1990-08-10,288-95-5033,Lucas,Korben,Wright,lucas.wright5@gmail.com,7
38,Female,1993-07-23,881-47-7103,Victoria,Olivia,White,victoria.white43@gmail.com,36
39,Male,1988-01-25,426-18-0606,Jackson,Rishaan,King,jackson.king@gmail.com,68
40,Female,1977-01-22,461-50-3823,Aubrey,Sophia,Lopez,aubrey.lopez@gmail.com,5
41,Male,1988-08-27,779-39-2212,David,Yousif,Scott,david.scott@outlook.com,22
42,Male,1955-08-17,472-48-0888,Oliver,Bailey,Green,oliver.green@gmail.com,68
43,Male,1940-10-28,445-32-4546,Jayden,Cedar,Baker,jayden.baker4@gmail.com,75
44,Female,1997-01-11,396-63-1548,Scarlett,Ann,Lee,scarlett.lee@gmail.com,38
45,Male,1972-08-26,665-55-8941,Joseph,Ely,Adams,joseph.adams@gmail.com,20
46,Female,1960-01-30,883-63-2770,Zoey,Emma,Gonzalez,zoey.gonzalez@gmail.com,19
47,Male,1954-07-14,247-03-1392,Gabriel,Jahlil,Nelson,gabriel.jahlil.nelson@gmail.com,76
48,Male,1960-02-09,392-60-6346,Samuel,Koby,Hill,samuel.hill@gmail.com,16
49,Female,1979-05-11,918-27-5875,Addison,Olivia,Harris,addison.harris@hotmail.com,72
50,Female,1998-07-30,874-41-6125,Lily,Sophia,Clark,lily.clark@gmail.com,39
51,Female,1999-12-02,605-79-6843,Lillian,Ava,Lewis,lillian.lewis@gmail.com,36
52,Male,1944-12-12,599-20-6019,Carter,Markel,Ramirez,carter.ramirez@gmail.com,32
53,Male,1997-05-05,749-94-5094,Anthony,Oskar,Campbell,anthony.campbell@outlook.com,64
55,Female,1968-09-18,167-61-1121,Natalie,Isabella,Robinson,natalie.robinson@gmail.com,45
56,Male,1980-03-31,986-31-0393,John,Rigoberto,Mitchell,john.mitchell@gmail.com,21
57,Female,1981-12-17,767-26-4726,Hannah,Mia,Walker,hannah.walker@gmail.com,21
58,Female,1947-04-29,810-95-8590,Aria,Abigail,Perez,aria.perez@gmail.com,1
59,Male,1977-02-18,305-32-3513,Dylan,Tiberius,Roberts,dylan.roberts@gmail.com,1
60,Male,2000-02-19,534-35-1562,Luke,Wolfgang,Carter,luke.carter@outlook.com,67
61,Female,1968-08-06,890-87-8722,Layla,Emily,Hall,layla.hall@gmail.com,16
62,Male,1952-12-08,721-99-5393,Henry,Chayce,Phillips,henry.phillips@gmail.com,77
63,Male,1979-06-04,486-07-3316,Andrew,Deven,Evans,andrew.evans@gmail.com,4
64,Male,1946-04-22,538-17-0630,Isaac,Levon,Turner,isaac.turner@gmail.com,20
65,Female,1963-05-27,380-98-0077,Brooklyn,Charlotte,Young,brooklyn.young@gmail.com,50
66,Female,1971-11-10,269-51-2282,Alexa,Harper,Allen,alexa.harper.allen@gmail.com,1
67,Female,1952-11-11,400-72-8738,Zoe,Madison,Sanchez,zoe.sanchez@gmail.com,29
68,Male,1966-12-14,854-39-7488,Christopher,Lloyd,Torres,christopher.torres@hotmail.com,43
70,Male,1945-12-22,618-58-1887,Joshua,Carsyn,Parker,joshua.parker@gmail.com,70
71,Female,1947-02-06,861-61-1685,Penelope,Amelia,Wright,penelope.wright@gmail.com,70
72,Male,1943-01-13,613-29-1524,Wyatt,Devyn,Collins,wyatt.collins@gmail.com,47
73,Male,1944-02-20,818-46-2099,Sebastian,Dov,Edwards,sebastian.edwards@outlook.com,22
74,Female,1945-07-26,921-32-4873,Riley,Elizabeth,King,riley.king@gmail.com,22
75,Female,1997-09-19,659-99-6511,Leah,Sofia,Scott,leah.scott@gmail.com,64
76,Female,1987-10-01,297-77-5386,Audrey,Evelyn,Green,audrey.green@gmail.com,36
77,Female,1976-02-18,381-22-7472,Savannah,Avery,Baker,savannah.baker@gmail.com,1
78,Female,1964-06-13,309-65-8189,Allison,Chloe,Adams,allison.adams@gmail.com,16
79,Female,1989-03-10,869-81-2271,Samantha,Ella,Nelson,samantha.nelson@outlook.com,37
80,Female,1999-02-25,132-47-0825,Nora,Grace,Hill,nora.hill@gmail.com,64
81,Male,1996-04-29,867-44-1568,Owen,Drayden,Stewart,owen.stewart@gmail.com,8
82,Female,1999-12-25,100-94-2798,Skylar,Victoria,Ramirez,skylar.ramirez@gmail.com,8
83,Female,1998-12-25,470-19-9896,Camila,Aubrey,Campbell,camila.campbell@gmail.com,1
84,Male,1999-05-05,495-13-7873,Caleb,Floyd,Flores,caleb.flores@gmail.com,1
85,Male,1981-08-27,751-50-9916,Nathan,Fynn,Morris,nathan.fynn.morris@gmail.com,1
86,Female,1989-07-20,414-33-2516,Anna,Scarlett,Mitchell,anna.mitchell@gmail.com,1
87,Female,1966-11-17,145-42-2241,Paisley,Zoey,Roberts,paisley.roberts@hotmail.com,72
89,Female,1971-05-05,802-29-4364,Ariana,Addison,Carter,ariana.carter@gmail.com,1
90,Male,1995-08-17,141-54-7729,Ryan,Jaron,Nguyen,ryan.nguyen@gmail.com,52
91,Male,1960-08-07,530-30-1461,Jack,Kaius,Murphy,jack.murphy@gmail.com,63
92,Female,1986-06-12,790-98-9800,Ellie,Lily,Phillips,ellie.phillips@outlook.com,74
93,Male,1945-02-16,350-92-7187,Hunter,Kyran,Rivera,hunter.rivera@gmail.com,3
94,Male,1967-09-09,766-62-4458,Levi,Laken,Cook,levi.cook@gmail.com,43
95,Female,1972-08-03,744-82-5035,Aaliyah,Lillian,Evans,aaliyah.evansw@gmail.com,43
96,Male,1992-02-29,848-45-1989,Christian,Monte,Rogers,christian.rogers@gmail.com,74
97,Male,1985-11-28,109-31-5533,Jaxon,Stephon,Morgan,jaxon.morgan@gmail.com,26
98,Female,1993-05-04,951-79-2346,Claire,Natalie,Turner,claire.turner@outlook.com,33
99,Male,1993-01-26,378-12-6869,Julian,Britton,Peterson,julian.peterson@gmail.com,33
100,Female,1962-08-11,744-16-6873,Violet,Hannah,Torres,violet.torres@gmail.com,44
101,Male,1963-01-23,110-19-8110,Landon,Estevan,Cooper,landon.cooper3@gmail.com,68
102,Female,1978-09-10,710-90-1424,Stella,Aria,Parker,stella.parker@gmail.com,74
103,Male,1975-07-11,851-42-9875,Grayson,Johnnie,Reed,grayson.reed45@gmail.com,74
105,Male,2000-05-26,407-34-0962,Jonathan,Jones,Bailey,jonathan.jones.bailey66@gmail.com,31
106,Female,1988-12-30,138-45-7585,Sadie,Layla,Collins,sadie.collins6@gmail.com,68
107,Male,1992-06-23,611-47-0052,Isaiah,Khari,Bell,isaiah.bell2@hotmail.com,1
108,Male,1983-09-13,596-89-3904,Charles,Kyrin,Gomez,charles.gomez2@gmail.com,17
110,Female,1987-04-13,860-40-3259,Mila,Brooklyn,Edwards,mila.edwards2@gmail.com,2
112,Male,1955-01-25,301-84-8451,Thomas,Marcelino,Kelly,thomas.kelly2@gmail.com,1
113,Female,1960-08-15,759-36-2321,Gabriella,Alexa,Stewart,gabriella.stewart@outlook.com,1
114,Female,1989-06-24,741-67-2549,Lucy,Zoe,Flores,lucy.flores3@gmail.com,74
115,Male,1989-12-24,888-01-0488,Aaron,Matheo,Howard,aaron.howard567@gmail.com,74
116,Male,1962-01-28,981-57-2148,Eli,Olin,Ward,eli.ward8@gmail.com,74
117,Female,1956-09-20,791-38-4367,Arianna,Penelope,Morris,arianna.morris@gmail.com,74
118,Male,1942-07-19,248-83-2375,Connor,Arman,Cox,connor.cox@gmail.com,55
119,Female,1942-02-28,913-64-1231,Kennedy,Riley,Nguyen,kennedy.nguyen@outlook.com,55
120,Male,1996-05-10,332-17-4598,Jeremiah,Banks,Diaz,jeremiah.diaz@gmail.com,1
121,Female,1998-10-29,178-16-7986,Sarah,Leah,Murphy,sarah.murphy456@gmail.com,41
122,Female,1983-11-13,945-61-4380,Madelyn,Audrey,Rivera,madelyn.rivera@gmail.com,35
123,Male,1989-02-12,413-51-2131,Cameron,Damoni,Richardson,cameron.richardson2@gmail.com,11
124,Male,1987-09-21,125-45-9860,Josiah,Dev,Wood,josiah.wood@gmail.com,44
125,Male,1956-10-31,340-30-8988,Adrian,Nazir,Watson,adrian.nazir.watson3245@gmail.com,37
126,Female,1949-09-27,108-55-7537,Eleanor,Savannah,Cook,eleanor.cook45@gmail.com,37
127,Female,1970-12-27,844-86-0801,Kaylee,Allison,Rogers,kaylee.rogers4@hotmail.com,21
128,Female,1993-04-04,711-28-5807,Caroline,Samantha,Morgan,caroline.morgan6@gmail.com,63
129,Female,1967-05-31,448-80-4157,Hazel,Nora,Peterson,hazel.peterson7@gmail.com,64
130,Male,1962-02-14,166-79-1395,Colton,Yakov,Brooks,colton.brooks88@gmail.com,53
131,Female,1997-01-31,433-02-1643,Hailey,Skylar,Cooper,hailey.cooper@outlook.com,53
132,Male,1973-01-26,242-00-0477,Jordan,Domenic,Bennett,jordan.bennett@gmail.com,36
134,Male,1952-01-18,428-49-5347,Brayden,Fischer,Gray,brayden.gray@gmail.com,6
135,Female,1958-09-10,317-19-3685,Genesis,Camila,Reed,genesis.reed@gmail.com,6
136,Female,1941-01-26,807-30-9613,Kylie,Anna,Bailey,kylie.bailey@gmail.com,55
137,Male,1943-09-14,531-23-5008,Nicholas,Henley,James,nicholas.james@gmail.com,60
138,Female,1992-10-21,896-53-5481,Autumn,Paisley,Bell,autumn.bell@outlook.com,54
139,Female,1979-07-25,763-84-9255,Piper,Ariana,Gomez,piper.gomez@gmail.com,8
140,Male,1981-06-06,231-87-0410,Robert,Maxon,Reyes,robert.reyes@gmail.com,8
141,Male,1945-11-02,926-20-5366,Angel,Morris,Cruz,angel.cruz@gmail.com,31
142,Male,1957-06-21,523-08-3259,Hudson,Raylen,Hughes,hudson.hughes@gmail.com,68
143,Male,1998-07-09,834-67-7554,Lincoln,Saif,Price,lincoln.price@gmail.com,27
144,Male,1978-12-06,633-93-6681,Evan,Stryker,Myers,evan.stryker.myers@gmail.com,65
145,Male,1998-02-14,143-72-0843,Dominic,Yariel,Long,dominic.long@gmail.com,55
146,Female,1981-12-19,845-74-4060,Maya,Ellie,Kelly,maya.kelly3@hotmail.com,31
147,Female,1953-11-02,284-76-0554,Nevaeh,Aaliyah,Howard,nevaeh.howard33@gmail.com,21
148,Male,1960-12-25,668-49-1531,Austin,Zaine,Foster,austin.foster@gmail.com,21
149,Male,1968-06-27,650-16-4522,Gavin,Arnav,Sanders,gavin.sanders2@gmail.com,55
150,Female,2000-09-27,426-44-6750,Serenity,Claire,Ward,serenity.ward@outlook.com,2
151,Female,1991-09-23,942-60-9820,Peyton,Violet,Cox,peyton.cox@gmail.com,51
152,Female,1965-12-02,895-14-4136,Mackenzie,Stella,Diaz,mackenzie.diaz@gmail.com,29
153,Female,2001-02-12,838-92-7283,Bella,Sadie,Richardson,bella.richardson@gmail.com,13
154,Male,1953-08-27,829-71-8127,Nolan,Austyn,Ross,nolan.ross@gmail.com,74
155,Female,1959-03-13,814-89-6164,Eva,Mila,Wood,eva.wood@gmail.com,74
156,Female,1950-07-22,296-46-9416,Taylor,Gabriella,Watson,taylor.watson@outlook.com,54
157,Female,1963-07-09,489-03-3905,Naomi,Lucy,Brooks,naomi.brooks@gmail.com,52
158,Female,1965-07-03,381-80-4650,Aubree,Arianna,Bennett,aubree.bennett@gmail.com,40
159,Male,1958-09-10,636-04-7309,Parker,Azriel,Morales,parker.morales@gmail.com,40
160,Female,1962-04-26,361-60-9017,Aurora,Kennedy,Gray,aurora.gray@gmail.com,64
161,Female,1963-10-07,252-81-7063,Melanie,Sarah,James,melanie.james@gmail.com,34
162,Male,1961-10-17,279-36-2586,Adam,Braxten,Powell,adam.braxten.powell@gmail.com,65
163,Male,1953-06-12,208-38-8235,Chase,Caspian,Sullivan,chase.sullivan@gmail.com,74
164,Female,1982-04-04,247-44-8312,Lydia,Madelyn,Reyes,lydia.reyes@hotmail.com,70
165,Male,1988-11-08,911-72-7087,Jace,Damir,Russell,jace.russell@gmail.com,22
166,Female,1981-10-22,544-74-4738,Brianna,Eleanor,Cruz,brianna.cruz@gmail.com,22
167,Female,1998-04-18,753-64-4273,Ruby,Kaylee,Hughes,ruby.hughes@gmail.com,38
168,Female,1996-11-05,759-53-1661,Katherine,Caroline,Price,katherine.price@outlook.com,24
169,Male,1973-09-12,386-28-6624,Ian,Dwight,Ortiz,ian.ortiz@gmail.com,38
170,Female,1966-06-16,197-59-9732,Ashley,Hazel,Myers,ashley.myers@gmail.com,38
171,Male,1949-06-25,574-35-3018,Cooper,Jasiel,Jenkins,cooper.jenkins@gmail.com,51
172,Female,1955-10-05,193-44-0980,Alexis,Hailey,Long,alexis.long@gmail.com,51
173,Female,1938-12-08,387-21-6253,Alice,Genesis,Foster,alice.foster@gmail.com,21
174,Male,1998-11-10,240-38-9745,Easton,Javian,Gutierrez,easton.gutierrez@outlook.com,10
175,Male,1980-07-13,811-71-9552,Kevin,Maddex,Perry,kevin.perry@gmail.com,31
176,Male,1949-03-11,374-39-6600,Jose,Rio,Butler,jose.butler@gmail.com,4
178,Male,1980-12-22,613-87-6043,Tyler,Yasin,Barnes,tyler.barnes@gmail.com,8
179,Male,2000-12-29,235-39-1309,Brandon,Dewayne,Fisher,brandon.fisher4@gmail.com,43
180,Male,2002-01-19,536-55-3734,Asher,Kylar,Henderson,asher.henderson5@gmail.com,73
181,Male,1987-07-06,833-63-8435,Jaxson,Mattias,Coleman,jaxson.mattias.coleman@gmail.com,76
182,Female,1979-07-13,627-37-4974,Cora,Kylie,Sanders,cora.sanders@gmail.com,76
183,Female,1998-03-19,356-54-2774,Julia,Autumn,Ross,julia.ross@hotmail.com,1
184,Male,1992-06-05,722-89-3528,Mateo,Mickey,Simmons,mateo.simmons@gmail.com,1
185,Male,1974-05-30,531-77-1646,Jason,Montgomery,Patterson,jason.patterson@gmail.com,77
186,Female,1981-02-22,317-73-0898,Madeline,Piper,Morales,madeline.morales@gmail.com,46
187,Male,1962-08-23,383-25-6517,Ayden,Ransom,Jordan,ayden.jordan@outlook.com,58
188,Male,1980-09-02,501-87-8997,Zachary,Shaurya,Reynolds,zachary.reynolds@gmail.com,64
189,Male,1939-08-10,733-55-9599,Carson,Trevon,Hamilton,carson.hamilton@gmail.com,11
190,Female,1967-10-31,636-29-4552,Faith,Maya,Powell,faith.powell@gmail.com,37
191,Male,1974-09-03,480-58-7585,Xavier,Vernon,Graham,xavier.graham@gmail.com,37
192,Male,1991-02-28,367-86-3819,Leo,Wilmer,Kim,leo.kim@gmail.com,70
193,Male,1982-05-01,120-56-5097,Ezra,Zakai,Gonzales,ezra.gonzales@outlook.com,1
194,Female,1944-12-20,487-42-6285,Annabelle,Nevaeh,Sullivan,annabelle.sullivan@gmail.com,28
195,Male,1939-11-18,275-17-4480,Bentley,Gareth,Alexander,bentley.alexander@gmail.com,74
196,Female,1947-06-25,498-81-0478,Alyssa,Serenity,Russell,alyssa.russell@gmail.com,74
197,Male,1953-04-25,478-34-3237,Sawyer,Henri,Ramos,sawyer.ramos@gmail.com,30
198,Male,1996-07-14,793-44-0942,Kayden,Ilan,Wallace,kayden.wallace@gmail.com,60
199,Male,1943-06-21,508-16-5093,Blake,Kace,Griffin,blake.kace.griffin@gmail.com,29
200,Female,1948-01-13,384-30-0085,Isabelle,Peyton,Ortiz,isabelle.ortiz@gmail.com,29
201,Female,1950-08-19,827-43-9438,Vivian,Mackenzie,Jenkins,vivian.jenkins@hotmail.com,17
202,Female,1996-11-21,835-02-9604,Gianna,Bella,Gutierrez,gianna.gutierrez@gmail.com,29
203,Male,1982-06-10,751-52-1968,Nathaniel,Kasey,West,nathaniel.west@gmail.com,31
204,Female,1987-06-17,600-21-6621,Quinn,Eva,Perry,quinn.perry@gmail.com,31
205,Female,1962-06-15,111-06-9579,Clara,Taylor,Butler,clara.butler@outlook.com,4
206,Female,1983-04-13,180-33-7692,Reagan,Naomi,Barnes,reagan.barnes@gmail.com,59
207,Male,1952-05-20,140-14-0851,Ryder,Kelly,Cole,ryder.cole@gmail.com,46
